trade_date,close,decision,reason,position_state,entry_date,entry_price,structural_stop,position_fraction
2022-07-05,766.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-07-06,770.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-07-07,774.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-07-14,780.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-07-17,773.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-07-18,777.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-07-19,781.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-07-20,798.0,BUY,EMA10 crossed above EMA30 with close 798.000 above EMA50 786.260 (intermediate trend turned),IN_POSITION,2022-07-20,798.0,740.9635807010932,1.0
2022-07-21,807.0,HOLD,close 807.000 above trailing stop 749.038,IN_POSITION,2022-07-20,798.0,749.0376106510151,1.0
2022-07-24,806.0,HOLD,close 806.000 above trailing stop 749.038,IN_POSITION,2022-07-20,798.0,749.0376106510151,1.0
2022-07-25,808.0,HOLD,close 808.000 above trailing stop 751.594,IN_POSITION,2022-07-20,798.0,751.5936540817427,1.0
2022-07-26,815.0,HOLD,close 815.000 above trailing stop 759.123,IN_POSITION,2022-07-20,798.0,759.1226787901896,1.0
2022-07-27,825.0,HOLD,close 825.000 above trailing stop 767.364,IN_POSITION,2022-07-20,798.0,767.3639160194617,1.0
2022-07-28,814.0,HOLD,close 814.000 above trailing stop 768.731,IN_POSITION,2022-07-20,798.0,768.7307791609288,1.0
2022-08-01,815.0,HOLD,close 815.000 above trailing stop 770.250,IN_POSITION,2022-07-20,798.0,770.2500092208625,1.0
2022-08-02,815.0,HOLD,close 815.000 above trailing stop 771.661,IN_POSITION,2022-07-20,798.0,771.6607228479437,1.0
2022-08-03,806.0,HOLD,close 806.000 above trailing stop 772.471,IN_POSITION,2022-07-20,798.0,772.4706712159477,1.0
